n,t,j,p
6,5,7,0.6395684491326895
6,5,8,0.1392669795317879
6,5,9,0.010137761136941993
6,5,10,0.051566952821968125
6,5,11,0.008641797113345243
6,6,2,0.0807809572298449
6,6,3,0.0301803408424027
6,6,5,0.046048976592818425
6,6,7,0.665827538758576
6,6,8,0.14498493529150522
6,6,9,0.01055399239203563
6,6,10,0.01262665108604914
6,6,11,0.00899660780676796
7,1,2,0.15018928917254976
7,1,3,0.7814499133547189
7,1,5,0.03274267490384057
7,1,12,0.015137818408567464
7,1,13,0.02048030416032333
7,2,3,0.939541116108748
7,2,5,0.03936668082983862
7,2,12,0.018200274336176228
7,2,14,0.002891928725237158
8,1,1,0.721659529219573
8,1,2,0.07968281339046587
8,1,3,0.060201959565229106
8,1,4,0.025401657589145185
8,1,5,0.026895967924632818
8,1,6,0.052997779552272105
8,1,7,0.0071145785986406725
8,1,8,0.02604571416004123
9,1,2,0.9111774063459817
9,1,3,0.019081069154576184
9,1,5,0.014344011716916953
9,1,10,0.024726285344995977
9,1,12,0.004932445406265114
9,1,13,0.00916658032667987
9,1,14,0.01657220170458436
9,2,2,0.9265320829097303
9,2,3,0.019402613173686543
9,2,5,0.014585729365978427
9,2,10,0.025142959541975804
9,2,12,0.005015564350341293
9,2,13,0.00932105065828766
9,3,1,0.006648728294645039
9,3,2,0.838415704872945
9,3,3,0.024695842500218904
9,3,4,0.05781260108618853
9,3,5,0.018564864018498637
9,3,6,0.0053735056024511105
9,3,7,0.022858216651842966
9,3,8,0.025630536973210057
10,1,1,0.017934186495521583
10,1,2,0.0182754660293131
10,1,3,0.13177115465105493
10,1,4,0.006366786378176656
10,1,5,0.01225729028554053
10,1,6,0.01083034665276929
10,1,7,0.0059362028590019145
10,1,8,0.005265027441976957
10,1,11,0.7913635392066449
11,1,1,0.8015434447806619
11,1,2,0.04829608147289653
11,1,3,0.03777873230282856
11,1,4,0.021858695519304316
11,1,5,0.05328023250619586
11,1,6,0.014000568000183332
11,1,7,0.015329478198158395
11,1,8,0.007912767219771024
12,1,1,0.025423965392207835
12,1,2,0.00996869074845137
12,1,3,0.3485379210667777
12,1,4,0.0031408300409756233
12,1,5,0.007085979664797996
12,1,6,0.0050203971886261245
12,1,7,0.0018706259814597773
12,1,8,0.005429909961385205
12,1,12,0.3301196430203602
12,1,15,0.2634020369349582
12,2,1,0.026129441754597804
12,2,2,0.0017383466549954164
12,2,3,0.3582093181488594
12,2,4,0.0005476999471056192
12,2,5,0.0012356576564059544
12,2,6,0.0008754600659020723
12,2,7,0.0003262009525296274
12,2,8,0.0009468711645776166
12,2,12,0.3392799609062104
12,2,15,0.2707110427488161
12,3,1,0.03231586524187283
12,3,2,0.01267099218769364
12,3,3,0.44301918741317114
12,3,4,0.003992242704314819
12,3,5,0.009006839036385963
12,3,6,0.006381320793413422
12,3,7,0.0015260273485473868
12,3,8,0.0069018438265105375
12,3,12,0.26930642925671466
12,3,15,0.2148792521913756
12,4,1,0.06069594410073239
12,4,2,0.0040379963869963285
12,4,3,0.34274578995231164
12,4,4,0.0012722493532663093
12,4,5,0.002870302731502509
12,4,6,0.0020336016253797527
12,4,7,0.0004863149490279617
12,4,8,0.0021994820943958973
12,4,12,0.32463359361149763
12,4,15,0.2590247251948895
12,5,1,0.06069594410073239
12,5,2,0.0040379963869963285
12,5,3,0.34274578995231164
12,5,4,0.0012722493532663093
12,5,5,0.002870302731502509
12,5,6,0.0020336016253797527
12,5,7,0.0004863149490279617
12,5,8,0.0021994820943958973
12,5,12,0.32463359361149763
12,5,15,0.2590247251948895
12,6,1,0.03837240119064106
12,6,2,0.015045748955520796
12,6,3,0.3376203216108007
12,6,4,0.004740456043921167
12,6,5,0.010694871957687969
12,6,6,0.007577287495733124
12,6,7,0.0028233365460846307
12,6,8,0.008195365288342903
12,6,12,0.31977897757995344
12,6,15,0.2551512333313142
12,7,1,0.05007297791581112
12,7,2,0.04766422598134217
12,7,3,0.44056807453764246
12,7,4,0.006185923826315869
12,7,5,0.013955970195588134
12,7,6,0.009887766667261247
12,7,7,0.003684233046001788
12,7,8,0.010694309773746623
12,7,12,0.4172865180562906
13,1,2,0.27795794975921
13,1,3,0.0023037485647396335
13,1,5,0.6683673141405061
13,1,12,0.0019251634291844325
13,1,14,0.0036041101786520023
13,1,16,0.04584171392770788
13,2,2,0.9191941803447461
13,2,3,0.0016688943302227259
13,2,5,0.06393859538824077
13,2,10,0.00503397313798111
13,2,12,0.0013946375836727462
13,2,13,0.00876971921513643
14,1,2,0.0263639045382051
14,1,3,0.0016945766376150531
14,1,5,0.005868059402194341
14,1,10,0.017576886027071168
14,1,12,0.04673662729994313
14,1,13,0.08552777571961853
14,1,14,0.7020069083439991
14,1,16,0.11422526203135355
14,2,1,0.029734113057879364
14,2,2,0.23433937420904916
14,2,3,0.13529816146860235
14,2,4,0.014159412491366883
14,2,5,0.05215909373890372
14,2,6,0.02758966785786638
14,2,7,0.4965090851912595
14,2,8,0.010211091985072545
15,1,1,0.00667424121256331
15,1,2,0.23300342773658167
15,1,3,0.021316265916722112
15,1,4,0.28911629355808377
15,1,5,0.024142238942423636
15,1,6,0.13845765427169737
15,1,7,0.13111393710452363
15,1,8,0.15617594125740453
15,2,1,0.0030286237935770025
15,2,2,0.8374089285262624
15,2,3,0.006394523560309796
15,2,4,0.13119461192570736
15,2,5,0.010955216774846515
15,2,6,0.0034668561152386237
15,2,7,0.004966084164722367
15,2,8,0.002585155139335858
16,1,2,0.9155154597522924
16,1,3,0.01646872442825463
16,1,5,0.04672837782401553
16,1,10,0.01286315451679038
16,1,12,0.0035017208791675086
16,1,13,0.004922562599479563
16,2,2,0.38838065124530147
16,2,3,0.008507531771663536
16,2,5,0.024139280531894958
16,2,7,0.04004236574807289
16,2,8,0.014090319336178051
16,2,9,0.006451995913600996
16,2,10,0.00809175672683548
16,2,11,0.007450734079196382
16,2,17,0.5028453646472565
16,3,2,0.8621407796763145
16,3,3,0.015508595477668297
16,3,5,0.0967609370902989
16,3,12,0.0032975700593752275
16,3,13,0.0038067296907211188
16,3,14,0.0037486969288091287
16,3,16,0.014736691076812811
17,1,1,0.040524346672440745
17,1,2,0.023456933065100664
17,1,3,0.7814886629532898
17,1,4,0.019947386212928027
17,1,5,0.05611354995920933
17,1,6,0.03286307564786917
17,1,7,0.023326563774574254
17,1,8,0.022279481714588076
18,1,1,0.023761336134201578
18,1,2,0.03399486792385442
18,1,3,0.8602362559767257
18,1,4,0.017920076655487047
18,1,5,0.03636968368358529
18,1,6,0.014382130843798796
18,1,7,0.010449005832246758
18,1,8,0.00288664295010063
19,1,1,0.021679789469556288
19,1,2,0.4094511401572171
19,1,3,0.004227164293834932
19,1,4,0.4546310684384073
19,1,5,0.031909880301136014
